areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Northern Ireland,N92000002,2022-08-14,4,4826
nation,Northern Ireland,N92000002,2022-08-13,4,4822
nation,Northern Ireland,N92000002,2022-08-12,0,4818
nation,Northern Ireland,N92000002,2022-08-11,1,4818
nation,Northern Ireland,N92000002,2022-08-10,3,4817
nation,Northern Ireland,N92000002,2022-08-09,2,4814
nation,Northern Ireland,N92000002,2022-08-08,2,4812
nation,Northern Ireland,N92000002,2022-08-07,0,4810
nation,Northern Ireland,N92000002,2022-08-06,0,4810
nation,Northern Ireland,N92000002,2022-08-05,1,4810
nation,Northern Ireland,N92000002,2022-08-04,2,4809
nation,Northern Ireland,N92000002,2022-08-03,0,4807
nation,Northern Ireland,N92000002,2022-08-02,0,4807
nation,Northern Ireland,N92000002,2022-08-01,4,4807
nation,Northern Ireland,N92000002,2022-07-31,2,4803
nation,Northern Ireland,N92000002,2022-07-30,2,4801
nation,Northern Ireland,N92000002,2022-07-29,6,4799
nation,Northern Ireland,N92000002,2022-07-28,3,4793
nation,Northern Ireland,N92000002,2022-07-27,1,4790
nation,Northern Ireland,N92000002,2022-07-26,2,4789
nation,Northern Ireland,N92000002,2022-07-25,4,4787
nation,Northern Ireland,N92000002,2022-07-24,5,4783
nation,Northern Ireland,N92000002,2022-07-23,5,4778
nation,Northern Ireland,N92000002,2022-07-22,5,4773
nation,Northern Ireland,N92000002,2022-07-21,2,4768
nation,Northern Ireland,N92000002,2022-07-20,3,4766
nation,Northern Ireland,N92000002,2022-07-19,6,4763
nation,Northern Ireland,N92000002,2022-07-18,4,4757
nation,Northern Ireland,N92000002,2022-07-17,3,4753
nation,Northern Ireland,N92000002,2022-07-16,2,4750
nation,Northern Ireland,N92000002,2022-07-15,3,4748
nation,Northern Ireland,N92000002,2022-07-14,6,4745
nation,Northern Ireland,N92000002,2022-07-13,4,4739
nation,Northern Ireland,N92000002,2022-07-12,10,4735
nation,Northern Ireland,N92000002,2022-07-11,3,4725
nation,Northern Ireland,N92000002,2022-07-10,2,4722
nation,Northern Ireland,N92000002,2022-07-09,3,4720
nation,Northern Ireland,N92000002,2022-07-08,5,4717
nation,Northern Ireland,N92000002,2022-07-07,5,4712
nation,Northern Ireland,N92000002,2022-07-06,6,4707
nation,Northern Ireland,N92000002,2022-07-05,4,4701
nation,Northern Ireland,N92000002,2022-07-04,3,4697
nation,Northern Ireland,N92000002,2022-07-03,5,4694
