areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Scotland,S92000003,2022-05-30,5,14840
nation,Scotland,S92000003,2022-05-29,3,14835
nation,Scotland,S92000003,2022-05-28,2,14832
nation,Scotland,S92000003,2022-05-27,4,14830
nation,Scotland,S92000003,2022-05-26,3,14826
nation,Scotland,S92000003,2022-05-25,4,14823
nation,Scotland,S92000003,2022-05-24,9,14819
nation,Scotland,S92000003,2022-05-23,6,14810
nation,Scotland,S92000003,2022-05-22,7,14804
nation,Scotland,S92000003,2022-05-21,5,14797
nation,Scotland,S92000003,2022-05-20,11,14792
nation,Scotland,S92000003,2022-05-19,9,14781
nation,Scotland,S92000003,2022-05-18,3,14772
nation,Scotland,S92000003,2022-05-17,9,14769
nation,Scotland,S92000003,2022-05-16,10,14760
nation,Scotland,S92000003,2022-05-15,5,14750
nation,Scotland,S92000003,2022-05-14,5,14745
nation,Scotland,S92000003,2022-05-13,1,14740
nation,Scotland,S92000003,2022-05-12,9,14739
nation,Scotland,S92000003,2022-05-11,15,14730
nation,Scotland,S92000003,2022-05-10,7,14715
nation,Scotland,S92000003,2022-05-09,5,14708
nation,Scotland,S92000003,2022-05-08,7,14703
nation,Scotland,S92000003,2022-05-07,9,14696
nation,Scotland,S92000003,2022-05-06,7,14687
nation,Scotland,S92000003,2022-05-05,7,14680
nation,Scotland,S92000003,2022-05-04,8,14673
nation,Scotland,S92000003,2022-05-03,18,14665
nation,Scotland,S92000003,2022-05-02,12,14647
nation,Scotland,S92000003,2022-05-01,8,14635
nation,Scotland,S92000003,2022-04-30,11,14627
nation,Scotland,S92000003,2022-04-29,17,14616
nation,Scotland,S92000003,2022-04-28,11,14599
nation,Scotland,S92000003,2022-04-27,8,14588
nation,Scotland,S92000003,2022-04-26,17,14580
nation,Scotland,S92000003,2022-04-25,11,14563
nation,Scotland,S92000003,2022-04-24,10,14552
nation,Scotland,S92000003,2022-04-23,15,14542
nation,Scotland,S92000003,2022-04-22,14,14527
nation,Scotland,S92000003,2022-04-21,14,14513
nation,Scotland,S92000003,2022-04-20,14,14499
nation,Scotland,S92000003,2022-04-19,14,14485
nation,Scotland,S92000003,2022-04-18,13,14471
nation,Scotland,S92000003,2022-04-17,11,14458
nation,Scotland,S92000003,2022-04-16,13,14447
nation,Scotland,S92000003,2022-04-15,16,14434
nation,Scotland,S92000003,2022-04-14,22,14418
nation,Scotland,S92000003,2022-04-13,22,14396
nation,Scotland,S92000003,2022-04-12,23,14374
nation,Scotland,S92000003,2022-04-11,15,14351
nation,Scotland,S92000003,2022-04-10,21,14336
nation,Scotland,S92000003,2022-04-09,12,14315
nation,Scotland,S92000003,2022-04-08,26,14303
